Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
KEY,KeyCorp,STOCK,66.54,N/A,N/A,0.00x,99,N/A,N/A,3.74%,81,0.00%,0,N/A,N/A,10.21x,97,0.29%,34,91.19%,98,13.44x,60,2.05x,8,1.36x,89,27.03%,100,Buy (2.11),68,9.97%,50,11.70%,88,0.00%,98
KEYS,"Keysight Technologies, Inc.",STOCK,61.50,2.60x,100,1.61x,95,44.67x,100,N/A,N/A,22.65%,24,45.89x,10,32.96x,60,0.59%,35,93.95%,99,59.87x,5,2.06x,8,9.41x,95,16.95%,68,Buy (1.69),83,17.22%,86,23.30%,100,1.34%,96
KHC,The Kraft Heinz Company,STOCK,54.45,1.15x,23,4.76x,50,52.10x,100,7.30%,100,22.96%,99,7.71x,99,10.24x,96,27.79%,44,62.91%,78,N/A,N/A,0.99x,89,0.62x,97,-23.44%,0,Hold (3.14),22,-12.84%,0,-3.40%,8,8.66%,48
KIM,Kimco Realty Corporation,STOCK,46.03,0.49x,1,4.79x,49,78.68x,89,4.36%,90,61.21%,100,18.61x,39,27.96x,40,2.20%,44,98.18%,99,29.12x,1,3.37x,17,1.55x,79,27.32%,100,Buy (2.32),59,5.54%,6,3.20%,37,4.52%,86
KKR,KKR & Co. Inc.,STOCK,61.88,0.85x,6,2.15x,91,68.61x,95,0.73%,11,0.00%,0,N/A,N/A,13.17x,94,23.23%,71,62.56%,77,43.03x,0,0.53x,96,3.17x,10,9.24%,37,Buy (1.57),86,8.56%,30,76.30%,100,1.95%,95
KLAC,KLA Corporation,STOCK,55.32,2.83x,100,3.57x,74,111.78x,59,0.40%,8,45.05%,98,43.53x,14,39.37x,30,0.10%,33,93.59%,99,55.25x,10,2.15x,5,45.59x,22,35.76%,100,Buy (1.93),75,100.73%,100,7.20%,66,2.84%,93
KMB,Kimberly-Clark Corporation,STOCK,45.53,0.74x,4,7.52x,8,464.79x,0,5.21%,96,19.45%,94,12.36x,77,12.95x,94,0.68%,36,89.11%,98,20.22x,47,1.98x,10,21.71x,0,12.29%,49,Hold (2.53),48,126.60%,100,-0.60%,16,13.20%,11
KMI,"Kinder Morgan, Inc.",STOCK,48.79,0.52x,1,3.52x,75,98.84x,72,3.80%,82,42.44%,100,13.75x,1,20.98x,0,12.78%,98,69.49%,87,20.77x,3,3.73x,0,2.20x,76,18.92%,76,Buy (2.13),67,10.60%,32,13.80%,93,2.50%,94
KO,The Coca-Cola Company,STOCK,52.97,1.46x,57,2.76x,86,139.79x,33,2.73%,57,33.54%,100,22.31x,0,21.85x,71,9.89%,88,66.56%,84,24.82x,6,3.95x,0,10.09x,0,27.34%,100,Buy (1.71),83,43.32%,100,2.40%,32,0.96%,97
KR,The Kroger Co.,STOCK,45.52,0.80x,5,4.25x,61,415.97x,0,2.12%,39,5.48%,2,9.14x,97,11.72x,95,9.12%,84,81.66%,96,42.79x,0,1.58x,34,7.12x,0,0.69%,3,Buy (2.12),68,14.41%,68,1.20%,25,4.86%,84
KVUE,Kenvue Inc.,STOCK,55.92,0.96x,10,3.14x,81,80.58x,88,4.73%,93,21.44%,97,12.71x,72,14.54x,92,0.07%,33,95.78%,99,23.07x,14,1.49x,42,3.12x,46,9.72%,39,Hold (2.79),36,14.39%,68,3.20%,37,3.64%,90
L,Loews Corporation,STOCK,52.30,0.51x,1,6.01x,24,50.22x,100,0.22%,6,17.64%,33,8.15x,98,38.33x,7,18.93%,93,60.43%,74,13.95x,51,1.32x,59,1.23x,92,9.03%,36,N/A,N/A,9.43%,42,4.10%,43,2.36%,94
LDOS,"Leidos Holdings, Inc.",STOCK,61.60,1.70x,82,3.30x,79,107.66x,63,1.15%,17,13.92%,4,9.42x,98,10.95x,99,0.57%,35,81.09%,95,12.95x,99,2.46x,1,3.71x,98,8.43%,34,Buy (2.12),68,31.03%,100,-3.60%,7,3.17%,92
LEN,Lennar Corporation,STOCK,63.97,8.33x,100,0.12x,99,24.99x,92,2.14%,40,7.48%,2,7.92x,98,12.25x,95,5.24%,62,93.99%,99,13.42x,96,0.59x,98,1.05x,95,5.39%,22,Hold (3.37),15,8.08%,15,-13.30%,0,0.24%,98
LH,Labcorp Holdings Inc.,STOCK,62.82,1.42x,53,5.73x,29,75.56x,91,1.09%,16,15.71%,33,12.65x,93,13.66x,93,0.36%,34,100.48%,99,25.18x,49,1.09x,81,2.51x,67,6.28%,25,Buy (1.63),85,10.51%,31,5.60%,54,3.95%,89
LHX,"L3Harris Technologies, Inc.",STOCK,55.38,N/A,N/A,1.99x,92,34.57x,97,1.56%,25,16.69%,27,36.31x,0,23.73x,62,0.34%,34,89.28%,98,37.61x,30,2.01x,9,3.12x,46,10.37%,41,Buy (1.67),84,N/A,N/A,190.00%,100,1.56%,96
LII,Lennox International Inc.,STOCK,59.29,1.60x,72,3.42x,77,152.24x,23,1.04%,15,22.23%,66,16.64x,58,18.89x,82,9.55%,86,79.01%,95,22.03x,85,1.41x,50,15.03x,0,15.51%,62,Hold (2.60),45,75.83%,100,-11.20%,1,5.66%,78
LIN,Linde plc,STOCK,49.24,0.88x,7,2.75x,86,70.63x,94,1.25%,7,39.26%,98,19.57x,0,26.17x,49,0.26%,34,86.99%,97,34.96x,0,2.40x,2,6.19x,1,20.30%,81,Buy (1.70),83,17.82%,89,5.80%,56,1.45%,96
LITE,Lumentum Holdings Inc.,STOCK,48.59,0.61x,2,1.20x,96,392.48x,0,N/A,N/A,12.72%,3,237.39x,0,52.55x,3,0.61%,36,112.64%,100,249.91x,0,0.63x,99,72.50x,1,11.95%,48,Buy (1.61),85,29.28%,100,65.50%,100,13.95%,8
LLY,Eli Lilly and Company,STOCK,64.34,1.58x,71,2.70x,86,165.31x,16,0.72%,11,48.62%,100,25.63x,1,20.63x,76,0.17%,33,84.69%,97,37.88x,2,1.30x,61,29.28x,0,31.67%,100,Buy (1.71),83,101.16%,100,42.60%,100,1.02%,97
LMT,Lockheed Martin Corporation,STOCK,56.03,1.14x,21,1.81x,93,276.37x,0,2.63%,54,10.65%,6,17.16x,53,16.02x,89,0.09%,33,74.88%,92,24.87x,78,1.10x,80,17.49x,0,6.38%,26,Hold (2.55),48,67.64%,100,0.30%,20,1.29%,96
LNT,Alliant Energy Corporation,STOCK,54.77,0.80x,5,10.88x,0,168.08x,70,2.88%,61,42.46%,98,16.41x,30,19.68x,79,0.16%,33,90.81%,98,23.06x,83,2.44x,1,2.54x,66,18.57%,74,Buy (1.92),76,11.30%,38,9.00%,76,9.23%,42
LOW,"Lowe's Companies, Inc.",STOCK,60.99,1.08x,17,4.72x,51,N/A,N/A,1.98%,35,14.37%,16,14.48x,77,17.78x,85,0.11%,33,80.74%,95,20.45x,88,2.60x,1,-13.72x,100,7.71%,31,Buy (1.89),77,N/A,N/A,10.90%,85,2.40%,94
LRCX,Lam Research Corporation,STOCK,69.58,2.54x,100,2.54x,88,35.28x,97,0.40%,8,36.20%,89,41.22x,19,33.16x,59,0.29%,34,88.62%,98,49.05x,25,1.59x,33,32.00x,59,30.94%,100,Buy (1.57),86,66.76%,100,23.80%,100,2.33%,94
LULU,lululemon athletica inc.,STOCK,76.73,2.26x,99,1.56x,95,36.24x,97,N/A,N/A,24.38%,78,6.27x,99,11.09x,96,4.72%,59,83.26%,96,11.09x,97,0.69x,100,3.45x,34,14.22%,57,Hold (2.88),32,34.01%,100,0.80%,23,5.43%,80
LUV,Southwest Airlines Co.,STOCK,64.20,0.48x,1,2.42x,89,93.03x,77,1.88%,33,7.66%,3,9.82x,95,8.44x,98,1.00%,38,93.98%,99,25.47x,77,0.21x,72,2.47x,69,2.83%,11,Hold (2.52),49,10.06%,28,12.80%,91,5.20%,82
LVS,Las Vegas Sands Corp.,STOCK,69.89,0.92x,9,3.68x,72,981.40x,0,2.02%,36,35.15%,99,10.13x,95,14.79x,91,58.44%,0,42.13%,32,20.10x,89,0.96x,91,23.12x,0,13.41%,54,Buy (1.70),83,90.45%,100,25.30%,100,8.83%,46
LYB,LyondellBasell Industries N.V.,STOCK,43.13,1.77x,86,1.47x,95,144.16x,29,6.76%,100,7.23%,3,15.73x,3,12.45x,95,20.17%,87,74.10%,91,N/A,N/A,1.53x,38,2.27x,75,-2.47%,0,Hold (2.89),32,-6.95%,0,-9.20%,2,4.77%,84
LYV,"Live Nation Entertainment, Inc.",STOCK,34.80,0.99x,12,7.59x,7,572.03x,0,N/A,N/A,7.79%,3,21.00x,20,70.29x,0,32.62%,21,83.29%,96,N/A,N/A,6.07x,0,135.14x,0,1.97%,8,Buy (1.54),87,36.70%,100,11.10%,86,13.65%,9
MA,Mastercard Incorporated,STOCK,59.15,1.03x,14,1.90x,93,256.04x,0,0.69%,11,62.65%,100,22.42x,13,22.33x,68,0.55%,35,90.38%,98,30.67x,0,1.61x,32,58.52x,0,45.65%,100,Strong Buy (1.33),91,209.91%,100,17.60%,98,0.73%,97
MAA,"Mid-America Apartment Communities, Inc.",STOCK,40.34,0.07x,0,3.52x,75,93.31x,77,4.88%,94,56.24%,100,16.25x,62,32.23x,21,0.66%,36,98.61%,99,33.26x,0,7.03x,0,2.59x,15,20.23%,81,Buy (2.40),55,7.65%,13,1.00%,24,2.93%,93
MAR,"Marriott International, Inc.",STOCK,52.50,0.43x,1,3.70x,72,N/A,N/A,0.74%,11,65.84%,100,24.45x,6,27.65x,41,17.80%,96,65.65%,82,37.89x,29,2.22x,4,-25.43x,100,37.25%,100,Buy (2.27),61,N/A,N/A,6.30%,59,2.36%,94
MAS,Masco Corporation,STOCK,67.07,1.75x,85,3.52x,75,12229.63x,0,1.72%,29,18.86%,42,12.54x,88,15.79x,90,0.22%,34,105.72%,100,18.38x,92,1.67x,27,-61.87x,100,10.90%,44,Buy (2.36),57,8457.14%,100,6.50%,61,5.29%,81
MCD,McDonald's Corporation,STOCK,66.03,0.95x,10,2.65x,87,N/A,N/A,2.56%,52,54.28%,100,17.83x,47,20.21x,77,0.28%,34,75.46%,92,24.27x,80,2.69x,0,-115.21x,100,31.85%,100,Buy (2.11),68,N/A,N/A,9.70%,80,1.30%,96
MCHP,Microchip Technology Incorporated,STOCK,61.07,2.16x,98,3.29x,79,82.38x,86,2.10%,38,22.41%,23,53.22x,3,32.62x,61,2.09%,43,99.43%,99,N/A,N/A,1.11x,79,7.16x,96,-1.57%,0,Buy (1.62),85,-1.09%,0,15.60%,96,5.93%,76
MCK,McKesson Corporation,STOCK,63.09,0.88x,7,3.34x,78,N/A,N/A,0.40%,8,1.49%,0,18.29x,32,18.78x,82,0.10%,33,91.27%,98,23.93x,58,1.01x,88,-78.49x,100,1.09%,4,Buy (1.56),86,N/A,N/A,11.40%,87,2.11%,95
MCO,Moody's Corporation,STOCK,54.41,1.16x,23,3.40x,77,235.54x,1,0.89%,13,48.44%,100,22.68x,12,24.79x,56,14.25%,100,80.41%,95,33.00x,0,2.07x,7,26.88x,0,31.69%,100,Buy (1.78),80,71.36%,100,8.10%,71,2.38%,94
MDLZ,"Mondelez International, Inc.",STOCK,54.46,0.59x,2,3.76x,71,84.85x,84,3.48%,76,12.95%,37,18.74x,3,17.10x,87,0.21%,33,88.26%,98,30.38x,0,0.95x,92,2.85x,56,6.36%,25,Buy (1.85),78,9.33%,22,9.30%,78,3.25%,92
MDT,Medtronic plc,STOCK,72.55,2.54x,100,1.96x,93,57.06x,99,3.42%,75,26.60%,97,13.38x,89,13.69x,93,0.32%,34,88.09%,98,23.16x,63,1.45x,46,2.17x,77,13.00%,52,Buy (1.90),77,9.39%,23,8.70%,75,1.21%,96
MELI,"MercadoLibre, Inc.",STOCK,59.73,1.17x,25,2.35x,90,169.24x,14,N/A,N/A,13.91%,14,24.47x,6,26.51x,47,7.30%,74,82.99%,96,46.61x,9,0.86x,97,13.82x,0,6.91%,28,Strong Buy (1.35),91,35.99%,100,44.60%,100,2.02%,95
MET,"MetLife, Inc.",STOCK,69.89,1.90x,92,3.46x,76,225.97x,1,2.92%,62,7.74%,3,15.24x,71,7.10x,98,16.44%,99,76.65%,93,16.49x,14,0.41x,89,1.79x,75,4.38%,18,Buy (1.89),77,12.02%,77,27.60%,100,2.32%,94
META,"Meta Platforms, Inc.",STOCK,81.12,2.60x,100,1.48x,95,39.16x,98,0.31%,7,50.70%,100,16.88x,56,18.82x,82,0.12%,33,78.34%,94,28.90x,65,1.10x,80,7.90x,0,30.08%,100,Strong Buy (1.35),90,30.24%,100,23.80%,100,1.21%,96
MGM,MGM Resorts International,STOCK,47.31,1.23x,31,4.64x,52,963.09x,0,N/A,N/A,13.43%,13,17.20x,53,17.52x,86,27.41%,46,72.44%,90,53.36x,3,0.96x,91,4.31x,13,1.17%,5,Buy (2.41),54,14.89%,72,6.00%,57,13.70%,9
MKC,"McCormick & Company, Incorporated",STOCK,74.14,0.76x,4,0.00x,99,65.16x,97,3.81%,82,19.09%,92,13.90x,52,15.06x,91,0.02%,33,94.33%,99,8.26x,100,1.98x,10,1.94x,83,23.12%,92,Buy (2.13),67,25.35%,99,16.70%,97,N/A,N/A
MLM,"Martin Marietta Materials, Inc.",STOCK,50.25,3.57x,100,3.65x,73,59.87x,99,0.54%,3,34.29%,94,20.25x,0,26.29x,48,0.77%,36,100.92%,99,37.25x,0,3.17x,0,3.67x,27,18.49%,74,Buy (1.95),74,10.16%,29,8.60%,74,3.18%,92
MMM,3M Company,STOCK,61.39,1.59x,72,2.41x,89,396.50x,0,2.14%,40,24.94%,81,13.36x,84,15.42x,90,0.10%,33,76.73%,93,28.09x,68,1.53x,38,23.30x,0,11.14%,45,Buy (2.11),68,71.46%,100,1.30%,25,1.53%,96
MNST,Monster Beverage Corporation,STOCK,55.37,3.70x,100,4.35x,59,0.80x,71,N/A,N/A,32.05%,100,27.27x,0,30.30x,29,28.49%,40,69.01%,87,39.62x,0,2.26x,3,9.11x,0,22.97%,92,Buy (2.08),70,26.82%,100,17.60%,98,3.09%,92
MO,"Altria Group, Inc.",STOCK,63.78,0.65x,2,4.58x,54,N/A,N/A,6.42%,99,77.51%,100,8.43x,98,11.35x,96,0.14%,33,63.47%,79,16.02x,91,1.71x,24,-31.55x,100,34.49%,100,Buy (2.50),50,N/A,N/A,-0.50%,17,2.78%,93
MOS,The Mosaic Company,STOCK,58.87,1.31x,40,1.70x,94,43.15x,99,3.79%,76,18.74%,29,5.55x,96,9.53x,97,0.30%,34,95.56%,99,13.66x,82,1.69x,26,0.61x,97,4.49%,18,Hold (2.60),45,4.82%,5,5.60%,54,7.66%,59
MPC,Marathon Petroleum Corporation,STOCK,47.59,1.26x,33,2.37x,90,142.65x,30,1.68%,28,7.11%,2,11.03x,11,11.06x,49,0.32%,34,77.17%,94,17.19x,17,0.87x,96,3.87x,22,3.04%,12,Buy (2.11),68,24.19%,99,-1.20%,14,2.49%,94
MPWR,"Monolithic Power Systems, Inc.",STOCK,55.65,5.91x,100,3.36x,78,0.68x,71,0.50%,9,27.99%,53,98.25x,0,61.16x,1,3.86%,54,101.36%,99,123.45x,0,2.68x,0,21.90x,82,22.27%,89,Strong Buy (1.44),89,19.17%,93,20.80%,99,4.34%,87
MRK,"Merck & Co., Inc.",STOCK,71.65,1.54x,66,2.82x,85,95.96x,75,3.08%,66,44.77%,100,10.60x,98,11.35x,96,0.06%,33,81.35%,96,15.14x,95,3.42x,0,5.19x,4,28.08%,100,Buy (1.83),79,36.88%,100,5.00%,50,1.11%,97
MRNA,"Moderna, Inc.",STOCK,43.60,3.29x,100,9.78x,1,15.09x,84,N/A,N/A,-147.07%,0,-5.16x,100,-10.55x,100,7.32%,74,77.07%,93,N/A,N/A,N/A,N/A,2.22x,76,-145.16%,0,Hold (2.96),29,-28.87%,0,-29.80%,0,18.33%,1
MRSH,"Marsh & McLennan Companies, Inc.",STOCK,58.00,1.11x,20,1.89x,93,151.63x,24,2.12%,39,27.74%,91,13.50x,83,15.04x,91,0.12%,33,92.11%,98,21.30x,0,1.66x,28,5.46x,0,14.26%,57,Buy (2.48),51,27.57%,100,7.60%,68,1.24%,96
MRVL,"Marvell Technology, Inc.",STOCK,67.31,2.01x,95,1.16x,96,33.48x,96,0.15%,6,32.09%,75,53.42x,3,29.17x,76,0.40%,34,83.73%,96,51.53x,18,1.93x,12,9.37x,95,32.58%,100,Strong Buy (1.49),88,19.25%,93,22.10%,99,3.90%,89
MS,Morgan Stanley,STOCK,55.27,N/A,N/A,0.00x,99,455.75x,0,2.10%,38,0.00%,0,N/A,N/A,15.02x,91,24.27%,65,62.93%,78,17.21x,9,2.28x,3,2.95x,16,24.75%,99,Buy (2.32),59,N/A,N/A,16.30%,97,0.00%,98
MSCI,MSCI Inc.,STOCK,56.99,0.86x,7,2.45x,89,N/A,N/A,1.39%,21,58.62%,100,25.92x,4,26.34x,48,3.60%,52,95.08%,99,33.79x,0,1.92x,13,-15.53x,100,40.74%,100,Buy (1.65),84,N/A,N/A,14.10%,94,1.91%,95
MSFT,Microsoft Corporation,STOCK,85.14,1.39x,48,2.53x,88,31.54x,95,0.86%,13,57.38%,100,18.19x,92,22.46x,92,0.08%,33,75.88%,93,26.60x,94,1.34x,57,8.07x,96,39.04%,100,Strong Buy (1.29),92,34.39%,100,16.70%,97,1.12%,97
MSI,"Motorola Solutions, Inc.",STOCK,67.84,1.04x,14,2.53x,88,402.39x,0,1.12%,16,30.16%,65,22.74x,84,23.64x,90,0.40%,34,88.10%,98,33.85x,81,2.39x,2,29.68x,65,18.44%,74,Buy (1.64),84,104.20%,100,12.30%,90,1.72%,96
MSTR,Strategy Inc,STOCK,50.16,5.62x,100,2.04x,92,16.16x,85,N/A,N/A,0.00%,0,-12.74x,100,4.65x,100,0.16%,33,56.53%,66,N/A,N/A,2.85x,0,1.20x,98,0.00%,0,Strong Buy (1.27),92,-11.11%,0,1.90%,29,11.39%,21
MTB,M&T Bank Corporation,STOCK,64.46,N/A,N/A,5.22x,40,N/A,N/A,2.75%,57,0.00%,0,N/A,N/A,10.44x,96,0.33%,34,94.02%,99,12.24x,78,1.35x,56,1.25x,91,31.48%,100,Hold (2.52),49,10.29%,54,5.70%,55,4.71%,85
MTD,Mettler-Toledo International Inc.,STOCK,51.94,1.14x,22,4.23x,62,N/A,N/A,N/A,N/A,30.10%,99,23.19x,3,24.90x,56,0.43%,35,102.93%,99,30.30x,17,2.72x,0,-1097.93x,100,21.59%,86,Buy (2.07),70,N/A,N/A,8.10%,71,3.67%,90
MU,"Micron Technology, Inc.",STOCK,90.67,2.90x,100,0.69x,98,14.90x,84,0.11%,6,63.32%,100,15.97x,94,5.19x,100,0.26%,34,82.20%,96,24.76x,95,0.29x,79,8.17x,96,41.49%,100,Strong Buy (1.45),89,39.82%,100,196.30%,100,3.23%,92
NCLH,Norwegian Cruise Line Holdings Ltd.,STOCK,66.90,0.21x,0,2.82x,85,703.03x,0,N/A,N/A,25.91%,85,9.27x,96,7.33x,98,0.43%,35,87.14%,97,19.77x,89,0.45x,92,3.75x,25,4.31%,17,Buy (2.00),73,23.29%,99,6.40%,60,16.08%,3
NDAQ,"Nasdaq, Inc.",STOCK,63.02,1.00x,12,2.56x,88,79.06x,89,1.24%,18,59.35%,100,18.70x,38,20.48x,76,10.86%,92,86.65%,97,27.24x,0,2.19x,5,4.21x,1,35.28%,100,Buy (1.71),83,16.20%,97,13.70%,93,1.68%,96
NDSN,Nordson Corporation,STOCK,65.70,2.72x,100,3.11x,82,66.99x,96,1.16%,17,31.94%,97,19.55x,31,22.89x,66,5.58%,64,77.75%,94,30.67x,58,1.90x,14,5.08x,4,18.39%,74,Buy (1.89),77,17.47%,88,8.80%,75,2.18%,95
NEE,"NextEra Energy, Inc.",STOCK,57.84,0.54x,1,0.03x,99,156.69x,78,2.63%,54,50.81%,100,22.00x,2,21.61x,72,0.12%,33,84.67%,97,24.07x,81,2.10x,7,3.58x,30,29.37%,100,Buy (1.92),76,10.32%,30,7.30%,66,0.01%,98
NEM,Newmont Corporation,STOCK,77.38,2.44x,99,1.67x,94,15.76x,85,0.90%,4,65.44%,100,7.40x,88,10.37x,96,0.25%,34,82.52%,96,15.06x,72,2.78x,0,3.57x,30,33.87%,100,Buy (1.67),84,25.83%,99,45.80%,100,2.03%,95
NFLX,"Netflix, Inc.",STOCK,67.01,1.41x,51,2.14x,91,53.79x,100,N/A,N/A,30.47%,96,27.25x,2,23.78x,61,0.58%,35,83.99%,97,29.47x,62,1.82x,18,14.49x,0,28.52%,100,Buy (1.70),83,48.49%,100,16.20%,96,1.86%,95
NI,NiSource Inc.,STOCK,62.93,0.69x,3,3.43x,77,139.28x,89,2.49%,50,43.47%,98,14.34x,60,21.59x,72,0.39%,34,100.05%,99,24.73x,79,2.74x,0,2.44x,69,13.99%,56,Buy (1.60),85,9.07%,21,19.80%,99,2.94%,93
NKE,"NIKE, Inc.",STOCK,54.51,2.14x,97,2.09x,92,79.33x,89,3.63%,79,8.31%,3,18.11x,44,24.19x,59,1.47%,40,82.78%,96,29.70x,62,1.38x,53,4.74x,7,4.84%,19,Buy (2.23),63,16.02%,80,0.10%,19,5.93%,76
NOC,Northrop Grumman Corporation,STOCK,59.49,1.15x,23,2.30x,90,102.68x,68,1.61%,26,17.25%,31,13.30x,84,19.04x,81,0.21%,34,83.31%,96,18.02x,92,4.27x,0,4.77x,7,10.80%,43,Buy (2.12),68,28.51%,100,4.40%,46,1.20%,96
NOW,"ServiceNow, Inc.",STOCK,70.69,0.84x,6,2.00x,92,20.73x,89,N/A,N/A,20.69%,17,31.35x,55,18.08x,97,0.20%,33,91.52%,98,53.84x,13,0.87x,96,7.95x,96,12.59%,50,Strong Buy (1.44),89,16.07%,80,22.10%,99,3.78%,89
NRG,"NRG Energy, Inc.",STOCK,59.74,1.64x,76,2.10x,92,989.05x,0,1.19%,18,9.66%,0,15.83x,38,14.07x,92,4.43%,57,86.32%,97,40.04x,22,1.42x,49,29.57x,0,2.81%,11,Buy (1.65),84,41.55%,100,13.70%,93,3.14%,92
NSC,Norfolk Southern Corporation,STOCK,50.83,0.91x,8,6.24x,21,111.59x,59,1.69%,28,45.85%,100,15.74x,67,23.68x,62,0.08%,33,78.23%,94,26.89x,72,4.41x,0,4.53x,9,21.91%,88,Hold (2.57),47,17.61%,88,0.20%,20,3.85%,89
NTAP,"NetApp, Inc.",STOCK,64.83,1.39x,49,8.51x,3,236.10x,1,1.92%,34,26.10%,42,12.06x,97,12.71x,99,0.52%,35,102.38%,99,18.19x,98,1.24x,67,18.54x,87,18.07%,72,Buy (2.40),55,112.59%,100,4.40%,46,11.45%,21
NTRS,Northern Trust Corporation,STOCK,62.81,N/A,N/A,2.62x,87,N/A,N/A,1.91%,33,0.00%,0,N/A,N/A,14.24x,92,0.86%,37,86.43%,97,17.57x,7,1.36x,55,2.57x,32,22.36%,89,Hold (2.93),30,14.46%,93,13.90%,93,1.61%,96
NUE,Nucor Corporation,STOCK,56.24,2.94x,100,3.13x,81,32.77x,96,1.04%,5,12.74%,9,13.22x,14,15.22x,91,3.20%,50,78.61%,94,28.59x,1,N/A,N/A,2.34x,72,5.37%,21,Buy (1.67),84,9.36%,23,8.60%,74,2.56%,94
NVDA,NVIDIA Corporation,STOCK,82.07,3.90x,100,1.68x,94,7.25x,78,0.02%,5,61.70%,100,39.12x,25,19.27x,96,4.21%,56,69.67%,87,44.30x,43,0.74x,100,33.47x,54,55.60%,100,Strong Buy (1.29),92,101.48%,100,73.20%,100,1.22%,96
NVR,"NVR, Inc.",STOCK,59.10,5.19x,100,3.88x,69,30.05x,95,N/A,N/A,16.78%,28,10.29x,94,15.44x,90,5.40%,63,90.00%,98,15.82x,94,4.97x,0,4.70x,8,12.49%,50,Hold (2.71),40,33.26%,100,-21.40%,0,5.07%,83
NWS,News Corporation,STOCK,39.48,1.81x,88,5.19x,40,30.89x,95,0.65%,10,13.76%,14,15.59x,68,24.40x,58,34.35%,15,49.14%,48,39.68x,23,3.53x,0,1.94x,83,13.35%,53,N/A,N/A,6.33%,8,5.50%,54,16.95%,2
NWSA,News Corporation,STOCK,55.22,1.81x,88,3.13x,81,30.89x,95,0.76%,11,13.76%,14,13.65x,82,21.09x,74,0.07%,33,109.99%,100,34.30x,42,3.07x,0,1.68x,88,13.35%,53,Buy (1.75),81,6.33%,8,5.50%,54,4.38%,87
NXPI,NXP Semiconductors N.V.,STOCK,82.78,2.05x,96,3.23x,80,119.71x,51,1.71%,28,33.03%,79,17.15x,93,14.23x,98,0.13%,33,99.03%,99,29.76x,90,0.76x,100,5.96x,97,16.47%,66,Buy (1.72),82,20.70%,96,7.20%,66,3.77%,89
O,Realty Income Corporation,STOCK,46.61,1.25x,32,5.26x,39,73.50x,93,5.16%,96,88.73%,100,17.26x,52,34.51x,14,0.12%,33,80.09%,95,53.63x,0,5.68x,0,1.49x,82,18.37%,73,Hold (2.58),46,2.70%,2,11.00%,85,3.76%,90
ODFL,"Old Dominion Freight Line, Inc.",STOCK,38.62,1.44x,54,5.55x,33,3.28x,74,0.53%,9,31.40%,97,26.65x,3,36.27x,10,8.21%,79,83.64%,96,45.66x,10,3.03x,0,10.67x,0,18.62%,74,Hold (2.60),45,23.93%,99,-5.70%,4,6.84%,68
OKE,"ONEOK, Inc.",STOCK,47.10,0.70x,3,4.82x,48,146.45x,27,4.88%,94,21.82%,63,12.04x,5,14.28x,8,0.19%,33,79.31%,95,16.19x,25,2.20x,4,2.46x,69,10.09%,40,Buy (2.00),73,15.49%,76,29.50%,100,4.63%,85
OMC,Omnicom Group Inc.,STOCK,52.17,0.93x,9,6.05x,24,86.31x,83,4.21%,88,16.17%,24,10.38x,94,6.11x,98,0.88%,37,111.79%,100,N/A,N/A,15.97x,0,1.98x,82,-0.32%,0,Buy (2.09),69,0.48%,1,27.90%,100,10.57%,28
ON,ON Semiconductor Corporation,STOCK,51.10,4.52x,100,4.20x,62,42.29x,99,N/A,N/A,29.28%,60,22.42x,85,24.16x,89,0.35%,34,111.26%,100,338.07x,0,0.37x,86,5.07x,97,2.02%,8,Buy (2.35),57,1.50%,1,-11.20%,1,10.46%,29
ORCL,Oracle Corporation,STOCK,78.84,1.35x,44,1.14x,96,415.26x,0,1.16%,17,42.83%,97,22.81x,84,21.54x,93,40.55%,4,44.16%,36,31.05x,87,1.10x,80,14.83x,91,25.30%,100,Buy (1.64),84,57.57%,100,21.70%,99,1.71%,96
ORLY,"O'Reilly Automotive, Inc.",STOCK,54.70,0.77x,4,3.09x,82,N/A,N/A,N/A,N/A,22.34%,67,21.50x,17,25.79x,51,0.50%,35,89.01%,98,30.97x,56,2.30x,3,-101.40x,100,14.27%,57,Buy (1.63),85,N/A,N/A,7.80%,70,2.02%,95
OTIS,Otis Worldwide Corporation,STOCK,63.12,0.84x,6,3.07x,82,N/A,N/A,2.19%,41,17.02%,29,14.99x,73,16.43x,88,0.13%,33,94.00%,99,20.61x,88,1.48x,43,-5.60x,100,10.11%,40,Buy (2.44),53,N/A,N/A,6.40%,60,3.36%,91
