Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
OXY,Occidental Petroleum Corporation,STOCK,52.23,0.94x,9,0.01x,99,63.80x,97,1.77%,30,52.12%,100,7.83x,64,16.39x,2,27.01%,49,51.71%,54,43.49x,0,1.33x,58,2.09x,79,10.77%,43,Hold (2.68),41,5.93%,7,148.90%,100,0.02%,98
PANW,"Palo Alto Networks, Inc.",STOCK,47.21,1.04x,15,3.06x,82,4.89x,75,N/A,N/A,15.53%,6,93.52x,0,45.62x,11,0.79%,36,74.77%,92,101.16x,0,3.01x,0,13.55x,93,12.96%,52,Buy (1.62),85,16.26%,81,14.90%,95,3.21%,92
PAYX,"Paychex, Inc.",STOCK,73.21,1.15x,23,4.60x,53,124.91x,46,4.64%,93,40.52%,96,22.74x,84,15.77x,98,10.38%,90,84.68%,97,20.53x,98,1.77x,20,8.30x,96,26.63%,100,Hold (3.26),18,N/A,N/A,19.90%,99,6.36%,72
PCAR,PACCAR Inc,STOCK,54.85,5.56x,100,4.77x,50,76.16x,91,1.21%,18,11.60%,8,20.96x,20,17.22x,86,1.86%,42,75.20%,92,24.70x,79,1.21x,70,3.17x,44,8.91%,36,Buy (2.35),57,13.11%,56,-8.90%,2,2.68%,93
PCG,PG&E Corporation,STOCK,79.10,1.20x,27,0.00x,99,187.87x,55,1.22%,18,39.92%,95,9.68x,96,9.13x,97,0.28%,34,99.31%,99,12.75x,97,0.72x,100,1.17x,94,11.01%,44,Buy (1.61),85,8.83%,19,15.00%,95,0.00%,98
PDD,PDD Holdings Inc.,STOCK,84.24,2.43x,99,3.40x,77,1.30x,72,N/A,N/A,21.70%,62,1.61x,100,7.09x,98,0.29%,34,32.34%,15,10.33x,98,0.72x,100,2.30x,74,22.66%,91,Buy (1.69),83,26.93%,100,12.00%,89,N/A,N/A
PEG,Public Service Enterprise Group Incorporated,STOCK,66.24,0.80x,5,3.78x,71,142.68x,87,3.34%,73,37.02%,89,14.23x,61,17.07x,87,0.13%,33,77.75%,94,18.99x,91,2.46x,1,2.35x,72,17.35%,69,Buy (2.27),61,12.76%,53,18.30%,98,2.40%,94
PEP,"PepsiCo, Inc.",STOCK,53.56,0.90x,8,3.31x,79,244.84x,1,3.61%,79,19.59%,94,13.76x,54,17.20x,86,0.20%,33,79.47%,95,24.71x,6,1.71x,24,10.07x,0,9.15%,37,Hold (2.57),47,43.88%,100,8.50%,74,1.69%,96
PFE,Pfizer Inc.,STOCK,57.64,1.16x,24,3.45x,76,77.96x,90,6.44%,99,41.10%,100,7.93x,100,9.36x,97,0.10%,33,67.92%,85,19.36x,84,13.77x,0,1.73x,87,12.42%,50,Buy (2.45),53,8.89%,19,-1.20%,14,2.35%,94
PFG,"Principal Financial Group, Inc.",STOCK,59.55,1.53x,65,5.54x,33,33.62x,96,3.25%,71,14.15%,15,9.71x,96,9.94x,97,1.08%,38,76.03%,93,14.50x,41,1.06x,84,1.85x,72,10.10%,40,Hold (2.83),34,13.39%,88,-4.50%,6,4.72%,85
PG,The Procter & Gamble Company,STOCK,57.62,0.73x,4,2.54x,88,67.65x,96,2.89%,61,28.88%,100,14.72x,37,20.70x,75,0.07%,33,70.14%,88,21.53x,29,4.11x,0,6.38x,1,19.16%,77,Buy (2.04),71,31.11%,100,7.40%,67,1.18%,96
PGR,The Progressive Corporation,STOCK,64.51,0.29x,0,2.57x,88,26.17x,92,6.97%,99,16.95%,29,8.10x,98,12.35x,95,0.25%,34,88.85%,98,10.14x,94,30.89x,0,3.64x,4,12.93%,52,Hold (2.62),44,37.90%,100,8.70%,75,1.37%,96
PH,Parker-Hannifin Corporation,STOCK,58.34,1.13x,21,1.89x,93,65.55x,97,0.91%,13,26.01%,85,22.07x,14,25.89x,51,0.19%,33,90.53%,98,32.55x,50,3.69x,0,7.78x,0,16.58%,66,Buy (1.65),84,24.84%,99,10.60%,84,1.07%,97
PHM,"PulteGroup, Inc.",STOCK,69.81,7.14x,100,3.43x,77,18.94x,87,0.87%,13,17.49%,32,7.93x,98,10.65x,96,0.94%,37,95.71%,99,11.53x,97,1.10x,80,1.76x,86,12.14%,49,Buy (2.19),65,16.18%,81,-12.40%,1,4.66%,85
PKG,Packaging Corporation of America,STOCK,66.27,N/A,N/A,3.25x,80,94.93x,76,2.29%,44,20.55%,54,12.19x,89,17.95x,84,1.59%,41,100.20%,99,26.46x,73,1.61x,32,4.20x,15,8.04%,32,Buy (2.09),69,N/A,N/A,10.60%,84,4.45%,86
PLD,"Prologis, Inc.",STOCK,43.12,0.21x,0,3.27x,79,59.83x,99,3.03%,65,69.17%,100,26.78x,3,41.62x,4,0.26%,34,96.36%,99,35.62x,0,110.48x,0,2.46x,20,39.65%,100,Buy (2.04),71,6.84%,10,8.30%,73,1.42%,96
PLTR,Palantir Technologies Inc.,STOCK,55.35,7.11x,100,1.10x,96,3.06x,74,N/A,N/A,32.18%,75,234.50x,0,77.16x,0,3.50%,52,61.57%,76,228.68x,0,2.84x,0,46.64x,20,36.31%,100,Buy (1.90),76,25.98%,100,70.00%,100,2.43%,94
PM,Philip Morris International Inc.,STOCK,58.95,0.98x,11,3.62x,74,N/A,N/A,3.53%,77,44.81%,100,16.55x,13,18.21x,84,0.17%,33,83.15%,96,23.43x,12,1.89x,14,-25.92x,100,26.74%,100,Buy (1.88),77,N/A,N/A,9.10%,77,1.07%,97
PNC,"The PNC Financial Services Group, Inc.",STOCK,72.43,N/A,N/A,2.71x,86,N/A,N/A,3.08%,66,0.00%,0,N/A,N/A,10.53x,96,0.31%,34,85.41%,97,12.82x,70,1.71x,24,1.39x,88,31.31%,100,Buy (1.77),81,12.10%,78,13.80%,93,1.74%,96
PNR,Pentair plc,STOCK,73.48,1.88x,91,3.65x,73,54.63x,100,1.31%,20,26.19%,86,13.45x,83,13.60x,93,1.00%,38,94.94%,99,19.87x,89,1.20x,71,3.34x,38,15.97%,64,Buy (1.95),75,17.61%,88,2.60%,33,3.65%,90
PNW,Pinnacle West Capital Corporation,STOCK,50.31,0.54x,1,6.41x,18,201.77x,45,3.52%,77,38.38%,92,13.10x,75,18.57x,83,0.15%,33,104.14%,100,20.50x,88,3.08x,0,1.78x,86,11.55%,46,Hold (2.61),45,9.06%,21,3.00%,36,7.40%,62
PODD,Insulet Corporation,STOCK,66.69,2.81x,100,3.10x,82,66.18x,96,N/A,N/A,20.83%,79,22.35x,4,21.66x,71,0.31%,34,105.44%,100,50.30x,0,0.95x,92,8.13x,0,9.12%,36,Buy (1.58),86,18.12%,90,31.20%,100,4.40%,86
POOL,Pool Corporation,STOCK,60.93,1.87x,91,5.09x,42,140.42x,32,2.50%,50,11.91%,8,14.27x,78,17.30x,86,11.90%,95,94.77%,99,19.13x,90,1.60x,32,6.68x,0,7.58%,30,Buy (2.36),57,34.24%,100,6.20%,59,11.22%,23
PPG,"PPG Industries, Inc.",STOCK,65.06,1.61x,74,3.20x,80,93.74x,77,2.64%,37,16.82%,21,11.18x,39,12.44x,95,0.14%,33,91.95%,98,15.40x,69,1.38x,53,3.02x,49,9.83%,39,Buy (2.22),64,20.75%,96,6.70%,62,3.45%,91
PPL,PPL Corporation,STOCK,59.49,0.86x,7,5.94x,25,131.15x,93,3.03%,65,39.21%,94,13.17x,75,17.77x,85,0.15%,33,87.52%,98,23.65x,82,1.45x,46,1.90x,84,13.06%,52,Buy (1.69),83,8.16%,15,2.80%,34,5.83%,77
PRU,"Prudential Financial, Inc.",STOCK,68.19,0.92x,9,5.40x,36,124.48x,46,5.53%,97,8.56%,3,7.77x,98,6.70x,98,0.18%,33,63.00%,78,9.87x,95,1.03x,86,1.06x,94,5.84%,23,Hold (3.17),21,11.36%,69,31.20%,100,3.86%,89
PSA,Public Storage,STOCK,46.66,0.19x,0,5.10x,42,107.65x,63,3.98%,85,70.51%,100,19.59x,31,29.93x,30,10.17%,89,83.23%,96,31.15x,0,4.40x,1,10.80x,0,39.06%,100,Buy (2.42),54,20.18%,95,3.20%,37,5.22%,82
PSKY,Paramount Skydance Corporation,STOCK,37.98,1.26x,33,6.55x,16,117.11x,53,1.80%,30,9.28%,4,9.52x,96,12.06x,95,3.36%,51,28.89%,11,369.67x,0,1.31x,60,1.07x,95,-2.15%,0,Hold (3.30),17,-0.86%,1,2.10%,30,8.24%,53
PSX,Phillips 66,STOCK,51.91,1.13x,21,1.79x,94,91.39x,79,2.88%,61,5.24%,1,13.32x,2,11.21x,46,0.23%,34,78.44%,94,17.43x,16,1.07x,83,2.43x,70,3.07%,12,Buy (2.25),62,14.55%,69,6.90%,64,1.85%,95
PTC,PTC Inc.,STOCK,83.85,1.22x,29,3.62x,74,35.94x,97,N/A,N/A,42.87%,97,14.21x,96,16.39x,97,0.33%,34,102.35%,99,20.11x,98,1.40x,51,4.22x,97,28.61%,100,Buy (1.84),78,23.14%,98,21.40%,99,5.72%,78
PWR,"Quanta Services, Inc.",STOCK,39.58,1.14x,21,4.48x,56,69.12x,95,0.06%,5,8.70%,3,44.72x,0,46.04x,1,0.76%,36,95.79%,99,101.95x,0,2.38x,2,12.42x,0,3.67%,15,Buy (1.69),83,13.53%,60,26.30%,100,3.60%,90
PYPL,"PayPal Holdings, Inc.",STOCK,72.89,1.29x,36,2.77x,86,60.70x,98,1.12%,16,20.04%,50,7.27x,98,8.71x,97,0.66%,36,83.26%,96,9.32x,97,0.91x,94,2.29x,48,15.78%,63,Hold (2.82),35,25.73%,100,3.70%,41,5.58%,79
Q,"Qnity Electronics, Inc.",STOCK,60.99,1.95x,94,2.16x,91,61.43x,98,0.22%,6,29.39%,61,24.29x,80,32.66x,61,0.05%,33,74.62%,92,43.30x,47,2.86x,0,4.23x,97,14.56%,58,Strong Buy (1.38),90,7.98%,15,8.10%,71,2.03%,95
QCOM,QUALCOMM Incorporated,STOCK,76.38,2.37x,99,3.79x,70,55.98x,100,2.08%,38,29.22%,60,14.78x,95,16.65x,97,0.14%,33,82.58%,96,19.03x,98,0.77x,99,8.24x,96,22.31%,89,Hold (2.59),45,36.08%,100,-3.50%,8,5.10%,82
RCL,Royal Caribbean Cruises Ltd.,STOCK,73.78,0.18x,0,5.42x,35,215.09x,2,1.67%,27,37.01%,99,13.58x,82,13.25x,94,1.83%,42,89.55%,98,16.21x,94,1.10x,80,7.15x,0,23.80%,95,Buy (1.69),83,47.73%,100,13.30%,92,6.83%,68
REG,Regency Centers Corporation,STOCK,55.08,0.91x,8,3.13x,81,73.20x,93,3.84%,83,63.32%,100,19.16x,34,31.00x,26,0.64%,36,103.02%,99,27.03x,2,2.61x,54,2.16x,38,33.11%,100,Buy (2.00),73,8.00%,15,10.00%,81,3.27%,91
REGN,"Regeneron Pharmaceuticals, Inc.",STOCK,80.93,4.66x,100,4.49x,56,8.61x,79,0.54%,9,30.14%,99,12.70x,93,12.91x,94,2.03%,43,91.77%,98,17.13x,91,1.51x,40,2.30x,74,29.65%,100,Buy (1.62),85,14.55%,69,19.00%,98,2.84%,93
RF,Regions Financial Corporation,STOCK,65.32,N/A,N/A,3.75x,71,N/A,N/A,3.76%,82,0.00%,0,N/A,N/A,9.86x,97,0.25%,34,90.55%,98,11.70x,84,1.66x,28,1.38x,89,31.00%,100,Hold (2.59),46,11.89%,75,7.30%,66,7.88%,57
RJF,"Raymond James Financial, Inc.",STOCK,67.73,N/A,N/A,6.55x,16,46.26x,100,1.38%,21,0.00%,0,N/A,N/A,11.67x,95,10.44%,90,80.31%,95,14.75x,37,1.00x,88,2.46x,38,14.62%,58,Buy (2.36),57,N/A,N/A,13.40%,92,5.06%,83
RL,Ralph Lauren Corporation,STOCK,65.87,2.10x,97,4.65x,52,98.97x,72,1.02%,15,17.46%,32,16.48x,60,20.13x,77,3.97%,54,103.72%,99,24.64x,79,1.62x,31,7.60x,0,11.73%,47,Buy (1.63),85,33.85%,100,12.20%,89,9.04%,44
RMD,ResMed Inc.,STOCK,71.72,3.06x,100,11.56x,0,13.41x,83,1.12%,16,37.51%,100,15.10x,75,16.90x,87,0.50%,35,68.62%,86,20.28x,80,1.32x,59,4.72x,7,27.53%,100,Buy (2.17),66,25.68%,99,11.00%,85,9.09%,43
ROK,"Rockwell Automation, Inc.",STOCK,47.67,1.16x,23,3.92x,68,99.29x,71,1.35%,21,21.70%,62,26.45x,3,29.65x,32,0.20%,33,88.07%,98,46.56x,9,2.24x,4,12.22x,0,11.56%,46,Buy (2.18),65,23.74%,99,11.90%,88,3.33%,91
ROL,"Rollins, Inc.",STOCK,43.22,0.65x,2,3.21x,80,77.23x,90,1.33%,20,22.37%,67,31.77x,0,39.29x,6,38.41%,6,59.71%,72,50.26x,5,4.12x,0,19.18x,0,13.77%,55,Buy (2.00),73,38.67%,100,10.20%,82,3.10%,92
ROP,"Roper Technologies, Inc.",STOCK,72.33,0.53x,1,3.02x,83,55.61x,100,1.02%,15,39.37%,94,14.64x,95,14.99x,98,0.38%,34,102.20%,99,22.36x,97,1.46x,45,1.92x,98,21.12%,84,Buy (2.40),55,9.01%,20,11.30%,86,4.28%,87
ROST,"Ross Stores, Inc.",STOCK,54.17,1.58x,71,2.62x,87,84.24x,85,0.78%,12,14.14%,15,23.12x,10,28.15x,39,2.14%,44,94.13%,99,34.62x,41,3.31x,0,11.92x,0,9.43%,38,Buy (1.67),84,36.68%,100,12.20%,89,2.38%,94
RSG,"Republic Services, Inc.",STOCK,53.56,0.64x,2,1.97x,93,115.35x,55,1.19%,18,30.99%,96,15.08x,72,25.67x,52,0.13%,33,96.67%,99,30.11x,60,3.01x,0,5.32x,3,12.89%,52,Buy (1.93),76,18.30%,91,2.20%,30,1.51%,96
RTX,RTX Corporation,STOCK,51.96,1.02x,14,3.09x,82,57.23x,99,1.59%,26,16.89%,29,17.57x,49,23.06x,65,0.07%,33,80.93%,95,32.64x,49,2.43x,2,3.58x,30,8.03%,32,Buy (2.00),73,11.57%,41,8.70%,75,0.99%,97
RVTY,"Revvity, Inc.",STOCK,57.48,1.68x,80,9.53x,1,46.87x,100,0.32%,7,29.44%,99,14.47x,82,14.44x,92,0.34%,34,103.24%,99,42.08x,1,0.53x,96,1.34x,92,8.45%,34,Buy (2.19),65,3.22%,3,5.90%,57,11.22%,23
SATS,EchoStar Corporation,STOCK,34.56,0.41x,1,4.18x,63,532.73x,0,N/A,N/A,9.96%,5,42.56x,0,-1080.53x,100,13.40%,99,100.24%,99,N/A,N/A,1.33x,58,6.17x,1,-96.62%,0,Buy (2.17),66,-111.35%,0,-4.30%,6,30.65%,0
SBAC,SBA Communications Corporation,STOCK,49.12,0.29x,0,2.16x,91,N/A,N/A,2.32%,45,64.32%,100,20.98x,20,25.29x,54,0.76%,36,100.27%,99,23.01x,11,4.97x,0,-4.76x,100,37.43%,100,Buy (2.24),63,N/A,N/A,3.70%,41,4.51%,86
SBUX,Starbucks Corporation,STOCK,36.15,0.92x,9,6.08x,23,N/A,N/A,2.34%,45,14.02%,15,26.58x,3,35.11x,13,0.13%,33,84.36%,97,80.84x,0,1.78x,20,-14.25x,100,3.89%,16,Buy (2.41),54,N/A,N/A,8.80%,75,4.42%,86
SCHW,The Charles Schwab Corporation,STOCK,69.45,0.62x,2,0.00x,99,67.07x,96,1.40%,21,0.00%,0,N/A,N/A,13.10x,94,6.17%,68,85.58%,97,18.20x,4,1.17x,74,3.25x,9,37.99%,100,Buy (1.68),83,19.09%,100,15.80%,96,0.00%,98
SHOP,Shopify Inc.,STOCK,46.50,5.96x,100,2.67x,87,1.40x,72,N/A,N/A,16.69%,7,83.38x,0,55.62x,2,0.19%,33,73.98%,91,135.82x,0,2.41x,2,12.36x,94,10.65%,43,Buy (1.75),81,9.84%,26,30.60%,100,1.78%,95
SHW,The Sherwin-Williams Company,STOCK,43.78,0.86x,7,3.11x,82,329.52x,0,1.01%,5,19.04%,31,20.27x,0,23.95x,61,6.30%,68,83.38%,96,30.58x,1,2.79x,0,17.03x,0,10.86%,43,Buy (1.96),74,60.72%,100,6.80%,63,2.17%,95
SJM,The J. M. Smucker Company,STOCK,55.31,0.84x,6,2.57x,88,143.20x,30,4.49%,91,21.05%,97,9.46x,97,9.66x,97,2.23%,44,93.90%,99,N/A,N/A,2.17x,5,1.98x,82,-14.07%,0,Buy (2.20),64,-20.68%,0,7.00%,64,5.55%,79
SLB,SLB N.V.,STOCK,41.28,1.34x,43,3.38x,78,42.52x,99,2.07%,38,20.90%,57,12.58x,3,17.04x,1,0.22%,34,88.66%,98,25.07x,0,1.90x,14,3.11x,46,9.26%,37,Buy (1.62),85,14.07%,65,2.70%,34,4.94%,83
SMCI,"Super Micro Computer, Inc.",STOCK,76.99,1.70x,81,1.79x,94,75.28x,92,N/A,N/A,3.91%,0,15.85x,94,9.07x,99,13.85%,99,56.39%,65,19.77x,98,0.91x,94,2.32x,98,3.11%,12,N/A,N/A,13.19%,57,123.40%,100,19.33%,1
SNA,Snap-on Incorporated,STOCK,64.25,3.53x,100,7.58x,7,21.73x,89,2.55%,51,26.89%,88,13.73x,81,17.86x,85,2.37%,45,96.41%,99,19.65x,90,2.14x,6,3.33x,38,19.60%,78,Hold (2.60),45,18.20%,90,5.20%,51,6.85%,68
SNDK,Sandisk Corporation,STOCK,84.53,4.78x,100,0.53x,98,N/A,N/A,N/A,N/A,42.70%,97,30.54x,58,7.67x,100,5.51%,64,83.68%,96,40.48x,58,N/A,N/A,17.20x,89,34.19%,100,Buy (1.62),85,39.30%,100,251.00%,100,10.33%,30
SNPS,"Synopsys, Inc.",STOCK,51.80,1.36x,45,2.52x,88,35.58x,97,N/A,N/A,20.17%,15,63.37x,1,28.68x,78,2.95%,48,91.33%,98,75.00x,0,3.18x,0,3.06x,98,13.76%,55,Buy (1.76),81,5.54%,6,65.50%,100,2.35%,94
SO,The Southern Company,STOCK,57.46,0.65x,2,5.17x,41,190.59x,53,3.14%,68,47.13%,99,13.18x,75,19.66x,79,0.10%,33,71.97%,90,24.73x,79,2.75x,0,3.01x,50,14.69%,59,Hold (2.58),46,11.04%,36,10.10%,82,2.23%,94
SOLV,Solventum Corporation,STOCK,68.43,1.23x,30,4.49x,56,103.94x,67,N/A,N/A,14.01%,20,13.66x,88,9.55x,97,14.99%,100,73.78%,91,7.50x,99,1.22x,69,2.29x,74,18.69%,75,Buy (2.46),52,38.86%,100,-3.70%,7,4.33%,87
SPG,"Simon Property Group, Inc.",STOCK,60.54,0.24x,0,0.00x,99,435.46x,0,4.27%,89,73.90%,100,20.35x,25,29.29x,33,1.82%,42,93.36%,99,14.28x,87,4.58x,1,12.74x,0,72.71%,100,Buy (2.19),65,104.11%,100,13.20%,92,0.00%,98
SPGI,S&P Global Inc.,STOCK,63.93,0.68x,3,1.53x,95,38.39x,98,0.90%,13,50.05%,100,18.19x,43,19.22x,81,0.34%,34,91.32%,98,26.91x,0,1.51x,40,4.09x,1,30.36%,100,Strong Buy (1.29),91,13.94%,91,10.40%,83,1.02%,97
SRE,Sempra,STOCK,60.58,1.59x,72,2.94x,84,83.39x,98,2.78%,58,40.15%,95,19.50x,7,17.11x,87,0.10%,33,94.37%,99,34.43x,42,0.85x,97,1.96x,82,13.40%,54,Buy (1.68),83,5.19%,5,-0.20%,18,1.72%,96
STE,STERIS plc,STOCK,63.53,2.48x,100,2.36x,90,28.65x,94,1.15%,17,27.02%,98,14.39x,82,19.35x,80,0.30%,34,98.82%,99,29.94x,19,1.64x,29,2.94x,52,12.14%,49,Buy (2.12),68,10.47%,31,9.20%,77,1.88%,95
STLD,"Steel Dynamics, Inc.",STOCK,55.69,3.13x,100,3.53x,75,45.99x,100,0.89%,4,12.18%,8,15.84x,3,13.36x,93,6.59%,70,85.91%,97,24.57x,6,11.95x,0,3.71x,26,7.22%,29,Buy (2.00),73,15.25%,75,19.10%,98,3.56%,90
STT,State Street Corporation,STOCK,61.14,N/A,N/A,0.02x,99,N/A,N/A,2.21%,42,0.00%,0,N/A,N/A,11.03x,96,0.36%,34,96.61%,99,15.45x,26,1.03x,86,1.75x,77,21.30%,85,Buy (2.06),70,11.26%,68,-2.80%,9,0.01%,98
STX,Seagate Technology Holdings plc,STOCK,64.69,1.33x,41,2.16x,91,352.79x,0,0.41%,8,31.92%,74,47.11x,8,27.67x,81,0.27%,34,87.83%,98,68.97x,1,0.47x,93,345.50x,0,21.60%,86,Strong Buy (1.50),88,1787.97%,100,44.10%,100,4.32%,87
STZ,"Constellation Brands, Inc.",STOCK,63.13,1.08x,17,2.46x,89,133.57x,38,2.70%,56,37.03%,100,11.14x,89,12.26x,95,20.00%,88,79.59%,95,15.90x,92,2.90x,0,3.27x,40,18.46%,74,Buy (2.04),71,22.64%,98,-11.30%,1,3.43%,91
SW,Smurfit Westrock Plc,STOCK,52.70,1.44x,55,5.72x,29,78.83x,89,4.71%,93,14.83%,18,7.40x,98,12.51x,94,0.51%,35,93.22%,99,54.76x,2,0.26x,76,1.12x,94,1.22%,5,Strong Buy (1.33),91,2.11%,2,0.70%,22,6.67%,70
SWK,"Stanley Black & Decker, Inc.",STOCK,53.80,1.14x,22,3.66x,73,77.61x,90,4.23%,88,10.97%,7,11.27x,92,12.81x,94,0.29%,34,94.27%,99,32.18x,51,1.39x,52,1.34x,92,2.44%,10,Buy (2.44),53,4.17%,4,2.70%,34,4.83%,84
SWKS,"Skyworks Solutions, Inc.",STOCK,50.37,2.40x,99,7.10x,11,20.71x,89,4.05%,86,23.33%,27,10.65x,98,13.90x,98,0.41%,34,107.25%,100,26.59x,94,2.01x,9,1.81x,98,9.73%,39,Hold (2.72),39,6.49%,9,-3.10%,8,23.46%,0
SYF,Synchrony Financial,STOCK,67.15,N/A,N/A,4.15x,63,N/A,N/A,1.58%,25,0.00%,0,N/A,N/A,7.23x,98,0.43%,35,110.36%,100,7.84x,99,2.23x,4,1.69x,79,36.39%,100,Buy (1.83),79,21.78%,100,6.10%,58,6.16%,74
SYK,Stryker Corporation,STOCK,59.93,2.11x,97,2.25x,91,61.90x,98,1.19%,18,27.86%,98,17.63x,41,17.60x,85,5.37%,63,82.24%,96,35.09x,5,1.50x,41,5.03x,5,13.21%,53,Buy (1.76),81,15.20%,74,2.60%,33,1.29%,96
SYY,Sysco Corporation,STOCK,60.91,1.33x,41,1.63x,94,670.44x,0,2.94%,63,5.46%,1,10.71x,92,14.93x,91,0.21%,33,90.04%,98,20.57x,42,1.00x,88,15.53x,0,2.08%,8,Buy (2.12),68,81.89%,100,4.70%,48,2.44%,94
T,AT&T Inc.,STOCK,68.67,0.92x,9,2.76x,86,125.17x,46,4.25%,89,35.10%,99,7.82x,98,10.22x,97,0.09%,33,68.44%,86,8.59x,98,1.82x,18,1.66x,88,16.94%,68,Buy (1.92),76,18.37%,91,2.90%,35,1.70%,96
TAP,Molson Coors Beverage Company,STOCK,45.04,0.55x,2,6.08x,23,61.77x,98,4.53%,92,21.21%,97,5.84x,100,8.40x,98,12.66%,97,98.29%,99,N/A,N/A,4.24x,0,0.79x,96,-19.20%,0,Hold (2.76),37,-18.17%,0,-2.70%,9,15.70%,4
TDG,TransDigm Group Incorporated,STOCK,64.47,2.75x,100,2.58x,88,N/A,N/A,N/A,N/A,50.98%,100,19.96x,28,25.22x,54,0.40%,34,97.14%,99,37.13x,31,2.86x,0,-7.02x,100,22.24%,89,Buy (1.78),80,N/A,N/A,13.90%,93,2.44%,94
TDY,Teledyne Technologies Incorporated,STOCK,70.13,1.76x,85,3.99x,67,23.13x,90,N/A,N/A,24.71%,34,20.56x,88,24.64x,88,0.86%,37,98.17%,99,32.47x,84,1.40x,51,2.81x,98,14.99%,60,Buy (1.69),83,9.05%,21,7.60%,68,3.09%,92
TECH,Bio-Techne Corporation,STOCK,44.22,4.54x,100,6.75x,14,17.45x,86,0.58%,9,27.19%,98,26.56x,0,25.45x,53,0.30%,34,112.70%,100,103.81x,0,0.71x,100,4.26x,13,6.67%,27,Buy (1.64),84,3.97%,3,-0.40%,17,10.21%,32
TEL,TE Connectivity plc,STOCK,83.97,1.89x,92,4.07x,65,43.80x,99,1.40%,21,25.30%,37,13.83x,96,16.43x,97,0.12%,33,95.31%,99,21.17x,97,1.10x,80,4.69x,97,15.54%,62,Buy (1.68),83,22.72%,98,14.50%,94,3.01%,92
TER,"Teradyne, Inc.",STOCK,62.01,2.15x,98,1.59x,95,2.62x,73,0.15%,6,30.49%,67,46.66x,8,36.53x,43,0.21%,33,97.61%,99,64.09x,3,1.90x,14,19.29x,86,22.55%,90,Buy (1.72),82,28.75%,100,87.00%,100,3.62%,90
TFC,Truist Financial Corporation,STOCK,67.33,N/A,N/A,2.77x,86,N/A,N/A,4.08%,87,0.00%,0,N/A,N/A,9.93x,97,0.18%,33,78.31%,94,12.61x,74,1.22x,69,1.07x,94,29.62%,100,Buy (2.24),63,8.58%,30,5.20%,51,2.25%,94
TGT,Target Corporation,STOCK,53.04,0.94x,10,2.93x,84,125.52x,45,3.54%,77,7.70%,4,9.06x,97,15.14x,91,0.28%,34,86.28%,97,15.85x,92,2.46x,1,3.61x,29,3.54%,14,Hold (2.54),48,24.03%,99,-1.50%,13,3.60%,90
TJX,"The TJX Companies, Inc.",STOCK,50.09,1.14x,22,2.67x,87,132.38x,39,1.22%,18,13.96%,14,21.46x,17,27.66x,41,0.13%,33,93.02%,99,32.20x,51,3.46x,0,17.04x,0,9.10%,36,Strong Buy (1.45),89,59.13%,100,8.50%,74,1.04%,97
TKO,"TKO Group Holdings, Inc.",STOCK,45.46,1.26x,34,6.24x,21,43.92x,99,1.68%,28,29.06%,94,16.89x,56,46.78x,1,17.67%,96,101.55%,99,81.92x,0,1.54x,38,3.87x,22,4.13%,17,Buy (1.59),86,5.63%,6,11.90%,88,12.86%,12
TMO,Thermo Fisher Scientific Inc.,STOCK,62.53,1.53x,65,2.38x,90,82.91x,86,0.38%,8,24.99%,95,19.00x,24,17.17x,86,0.17%,33,94.95%,99,25.78x,44,1.57x,35,3.31x,39,15.15%,61,Strong Buy (1.35),91,13.52%,60,6.20%,59,1.22%,96
TMUS,"T-Mobile US, Inc.",STOCK,71.74,1.09x,18,3.15x,81,218.57x,2,2.08%,38,36.80%,99,9.93x,95,14.06x,92,56.77%,0,43.27%,34,20.86x,88,0.78x,99,3.67x,27,11.65%,47,Buy (1.62),85,18.02%,90,10.60%,84,4.33%,87
TPL,Texas Pacific Land Corporation,STOCK,54.42,4.40x,100,7.43x,8,1.22x,72,0.54%,9,82.13%,100,45.41x,0,5.93x,98,0.17%,33,73.49%,91,62.12x,0,7.33x,0,20.49x,0,60.31%,100,N/A,N/A,37.15%,100,13.90%,93,8.93%,45
TPR,"Tapestry, Inc.",STOCK,58.80,1.63x,75,7.28x,9,715.48x,0,1.12%,16,24.13%,77,17.52x,50,19.75x,79,0.34%,34,98.35%,99,55.33x,2,0.33x,83,52.50x,0,6.95%,28,Buy (1.95),75,55.34%,100,14.00%,93,7.21%,64
